NOME_ORIGINAL,NOME_PADRONIZADO
CDM AMIGOS DE MOEMA,CDM AMIGOS DE MOEMA
CDM AMIGOS DO BOM RETIRO,CDM AMIGOS DO BOM RETIRO
CDM AMIGOS LAUZANE PAULISTA,CDM AMIGOS LAUZANE PAULISTA
CDM ANCHIETA,CDM ANCHIETA
CDM ANGELLO ROSELLI (VILA RICA I),CDM ANGELLO ROSELLI (VILA RICA I)
CDM ARAUJO,CDM ARAUJO
CDM AREÃO DE VILA CISPER,CDM AREÃO DE VILA CISPER
CDM ARLINDO DE OLIVEIRA MIRAGAIA,CDM ARLINDO DE OLIVEIRA MIRAGAIA
CDM AUGOSTINHO VIEIRA,CDM AUGOSTINHO VIEIRA
CDM AYRTON SENNA DA SILVA,CDM AYRTON SENNA DA SILVA
CDM BADEN POWELL,CDM BADEN POWELL
CDM BANDEIRANTES,CDM BANDEIRANTES
CDM BELENZINHO,CDM BELENZINHO
CDM BENEDICTO RAMOS RODRIGUES,CDM BENEDICTO RAMOS RODRIGUES
CDM BENTO BICUDO,CDM BENTO BICUDO
CDM BOLA  PRETA,CDM BOLA  PRETA
CDM BRASIMET - PARENTES UNIDOS,CDM BRASIMET - PARENTES UNIDOS
CDM CAMPO GRANDE 1,CDM CAMPO GRANDE 1
CDM CANARINHO,CDM CANARINHO
CDM CASTÚLIO DO AMARAL,CDM CASTÚLIO DO AMARAL
CDM CECÍLIA MEIRELLES,CDM CECÍLIA MEIRELLES
CDM CENTRO DA COROA FUTEBOL CLUBE,CDM CENTRO DA COROA FUTEBOL CLUBE
CDM CIDADE D'ABRIL III,CDM CIDADE D'ABRIL III
CDM CIDADE DUTRA,CDM CIDADE DUTRA
CDM CIDADE KEMEL,CDM CIDADE KEMEL
CDM CIDADE LÍDER,CDM CIDADE LÍDER
CDM CIDADE PATRIARCA,CDM CIDADE PATRIARCA
CDM CIDADE SÃO MATHEUS,CDM CIDADE SÃO MATHEUS
CDM CIDADE SATÉLITE SANTA BÁRBARA,CDM CIDADE SATÉLITE SANTA BÁRBARA
CDM CITY,CDM CITY
CDM CLEUZA BUENO,CDM CLEUZA BUENO
CDM CLIPPER,CDM CLIPPER
CDM CONGONHAS,CDM CONGONHAS
CDM CONJUNTO SETÚBAL,CDM CONJUNTO SETÚBAL
CDM COPA 70,CDM COPA 70
CDM CORONEL JOSÉ GLADIADOR,CDM CORONEL JOSÉ GLADIADOR
CDM CORSÃO,CDM CORSÃO
CDM DE VILA NOVA CACHOEIRINHA - VINOCA,CDM DE VILA NOVA CACHOEIRINHA - VINOCA
CDM DÉLIO DE CARVALHO,CDM DÉLIO DE CARVALHO
CDM DONA HERCILIA ALVES DA SILVEIRA,CDM DONA HERCILIA ALVES DA SILVEIRA
CDM ÉBANOS,CDM ÉBANOS
CDM ELÍSIO SIQUEIRA,CDM ELÍSIO SIQUEIRA
CDM ERMELINO MATARAZZO,CDM ERMELINO MATARAZZO
CDM ESPORTE CLUBE DO SAPY,CDM ESPORTE CLUBE DO SAPY
CDM ESTRELA DO CAMPO GRANDE 2,CDM ESTRELA DO CAMPO GRANDE 2
CDM ESTRELA DO PARI,CDM ESTRELA DO PARI
CDM FARIA LIMA,CDM FARIA LIMA
CDM FERNANDO ROMERA VAL (ANTIGO JARDIM AVELINO),CDM FERNANDO ROMERA VAL (ANTIGO JARDIM AVELINO)
CDM FERRADURA,CDM FERRADURA
CDM FLOR DA MOCIDADE DO BURGO PAULISTA,CDM FLOR DA MOCIDADE DO BURGO PAULISTA
CDM FRANCISCO MACHADO DE CAMPOS,CDM FRANCISCO MACHADO DE CAMPOS
CDM FRANCISCO PRESTES MAIA,CDM FRANCISCO PRESTES MAIA
CDM FRANCISCO REYNALDO FIRAGI,CDM FRANCISCO REYNALDO FIRAGI
CDM GERALDO JOSÉ DE ALMEIDA,CDM GERALDO JOSÉ DE ALMEIDA
CDM GETÚLIO DORNELES VARGAS,CDM GETÚLIO DORNELES VARGAS
CDM GUAIANAZES,CDM GUAIANAZES
CDM IATISMO,CDM IATISMO
CDM IBIRAPUERA,CDM IBIRAPUERA
CDM IPASURE,CDM IPASURE
CDM IPIRANGA,CDM IPIRANGA
CDM ISIDORO MATEUS,CDM ISIDORO MATEUS
CDM ITAGUAÇU,CDM ITAGUAÇU
CDM ITAQUERA,CDM ITAQUERA
CDM IV CENTENÁRIO,CDM IV CENTENÁRIO
CDM JAÇANÃ,CDM JAÇANÃ
CDM JACENA,CDM JAÇANÃ
CDM JAGUARÉ,CDM JAGUARÉ
CDM JARDIM CACHOEIRA,CDM JARDIM CACHOEIRA
CDM JARDIM CLIPPER,CDM JARDIM CLIPPER
CDM JARDIM COIMBRA,CDM JARDIM COIMBRA
CDM JARDIM DAS VERTENTES,CDM JARDIM DAS VERTENTES
CDM JARDIM ELIANA,CDM JARDIM ELIANA
CDM JARDIM GUARAÚ E GONÇALVES CENTENO,CDM JARDIM GUARAÚ E GONÇALVES CENTENO
CDM JARDIM HERPLIN,CDM JARDIM HERPLIN
CDM JARDIM ITÁLIA,CDM JARDIM ITÁLIA
CDM JARDIM LIBANO,CDM JARDIM LIBANO
CDM JARDIM MARISTELA E SANTA CRUZ,CDM JARDIM MARISTELA E SANTA CRUZ
CDM JARDIM MARTINICA,CDM JARDIM MARTINICA
CDM JARDIM NOEMIA,CDM JARDIM NOEMIA
CDM JARDIM OLIVEIRAS,CDM JARDIM OLIVEIRAS
CDM JARDIM PATENTE,CDM JARDIM PATENTE
CDM JARDIM PETRONITA,CDM JARDIM PETRONITA
CDM JARDIM PLANALTO,CDM JARDIM PLANALTO
CDM JARDIM REGINA,CDM JARDIM REGINA
CDM JARDIM SANTO ELIAS,CDM JARDIM SANTO ELIAS
CDM JARDIM SÃO JOSÉ,CDM JARDIM SÃO JOSÉ
CDM JARDIM SECKLER,CDM JARDIM SECKLER
CDM JARDIM SUZANA,CDM JARDIM SUZANA
CDM JARDIM TEXTIL,CDM JARDIM TEXTIL
CDM JOÃO CAVALCANTE LEAL,CDM JOÃO CAVALCANTE LEAL
CDM JOAQUIM TEODORO PEREIRA,CDM JOAQUIM TEODORO PEREIRA
CDM JORGE TIBIRIÇA,CDM JORGE TIBIRIÇA
CDM JOSÉ ALEXANDRE DE FARIA,CDM JOSÉ ALEXANDRE DE FARIA
CDM JOSÉ AMANCIO FERNANDES,CDM JOSÉ AMANCIO FERNANDES
CDM JOSÉ PANTA ALVES,CDM JOSÉ PANTA ALVES
CDM JOSÉ PIRES DO RIO,CDM JOSÉ PIRES DO RIO
CDM JURUBATUBA,CDM JURUBATUBA
CDM KALIL ALLE MAMEDE,CDM KALIL ALLE MAMEDE
CDM LAURO MEGALE,CDM LAURO MEGALE
CDM LÍBANO,CDM LÍBANO
CDM LIDERANÇA,CDM LIDERANÇA
CDM LOURENÇO CABRERA,CDM LOURENÇO CABRERA
CDM MAMONAS,CDM MAMONAS
CDM MANOEL DE ABREU,CDM MANOEL DE ABREU
CDM MANOEL VIDAL,CDM MANOEL VIDAL
CDM MAR PAULISTA E REPRESA NOVA,CDM MAR PAULISTA E REPRESA NOVA
CDM MARIA FELIZARDA,CDM MARIA FELIZARDA
CDM MARIA ROSA GONÇALVES,CDM MARIA ROSA GONÇALVES
CDM MAURO BEZERRA PINHEIRO,CDM MAURO BEZERRA PINHEIRO
CDM MOCIDADE ATIVA CRISTÃ,CDM MOCIDADE ATIVA CRISTÃ
CDM MOINHO VELHO,CDM MOINHO VELHO
CDM MORUMBI SUL,CDM MORUMBI SUL
CDM NACIONAL DO BOM RETIRO,CDM NACIONAL DO BOM RETIRO
CDM NOSSA SENHORA DO Ó,CDM NOSSA SENHORA DO Ó
CDM PARADA DE TAIPAS,CDM PARADA DE TAIPAS
CDM PARELHEIROS,CDM PARELHEIROS
CDM PARQUE AMÉRICA,CDM PARQUE AMÉRICA
CDM PARQUE CONTINENTAL,CDM PARQUE CONTINENTAL
CDM PARQUE DA MOÓCA,CDM PARQUE DA MOÓCA
CDM PARQUE DOROTÉIA,CDM PARQUE DOROTÉIA
CDM PARQUE FONGARO,CDM PARQUE FONGARO
CDM PARQUE IGUATEMI- LIMOEIRO,CDM PARQUE IGUATEMI- LIMOEIRO
CDM PARQUE REGINA,CDM PARQUE REGINA
CDM PARQUE SANTA MADALENA,CDM PARQUE SANTA MADALENA
CDM PARQUE SÃO LUCAS,CDM PARQUE SÃO LUCAS
CDM PARQUE SÃO RAFAEL,CDM PARQUE SÃO RAFAEL
CDM PARQUE VEREDA,CDM PARQUE VEREDA
CDM PASSAGEM FUNDA,CDM PASSAGEM FUNDA
CDM PAULINO ALVES DA SILVA,CDM PAULINO ALVES DA SILVA
CDM PEDRA BRANCA,CDM PEDRA BRANCA
CDM PEDRO JOSÉ NUNES,CDM PEDRO JOSÉ NUNES
CDM PEQUENINOS DO JOCKEY,CDM PEQUENINOS DO JOCKEY
CDM PERUS,CDM PERUS
CDM PORINGÁ,CDM PORINGÁ
CDM PROFESSOR FRANCISCO TEODORO MENDES,CDM PROFESSOR FRANCISCO TEODORO MENDES
CDM PROL LESTE,CDM PROL LESTE
CDM RAYMUNDO DA SILVA DUPRAT,CDM RAYMUNDO DA SILVA DUPRAT
CDM REINALDÃO,CDM REINALDÃO
CDM RESIDENCIAL SANTA TEREZINHA,CDM RESIDENCIAL SANTA TEREZINHA
CDM ROBERTO JORGE (LEÃO X),CDM ROBERTO JORGE (LEÃO X)
CDM ROBERTO RUSSO,CDM ROBERTO RUSSO
CDM SALVELINO FERREIRA,CDM SALVELINO FERREIRA
CDM SANTO ANTONIO,CDM SANTO ANTONIO
CDM SÃO CAIO,CDM SÃO CAIO
CDM SÃO FRANCISCO,CDM SÃO FRANCISCO
CDM SÃO LUIZ I,CDM SÃO LUIZ I
CDM SAO LUIZ II,CDM SÃO LUIZ I
CDM SÃO MARCOS,CDM SÃO MARCOS
CDM SÃO PAULO,CDM SÃO PAULO
CDM SÃO PAULO GIANTS,CDM SÃO PAULO GIANTS
CDM SAPOPEMBA,CDM SAPOPEMBA
CDM SERRA MORENA,CDM SERRA MORENA
CDM SIMÕES UNIDOS,CDM SIMÕES UNIDOS
CDM TANCREDO NEVES,CDM TANCREDO NEVES
CDM TIDE SETUBAL,CDM TIDE SETUBAL
CDM TIETE E SOUZA,CDM TIETE E SOUZA
CDM TRÊS ALIANÇAS,CDM TRÊS ALIANÇAS
CDM TRINTA E UM DE MARÇO,CDM TRINTA E UM DE MARÇO
CDM UCRA UNIÃO CULTURAL E RECREATIVA AMIZADE,CDM UCRA UNIÃO CULTURAL E RECREATIVA AMIZADE
CDM UNI LESTE DE ESPORTES ATLÉTICOS,CDM UNI LESTE DE ESPORTES ATLÉTICOS
CDM UNIÃO BRASILIENSE DE ESPORTES,CDM UNIÃO BRASILIENSE DE ESPORTES
CDM UNIÃO DO BOM RETIRO,CDM UNIÃO DO BOM RETIRO
CDM UNIÃO DO MORRO DO JARDIM SANTA TEREZINHA,CDM UNIÃO DO MORRO DO JARDIM SANTA TEREZINHA
CDM UNIÃO DO PARQUE SÃO RAFAEL,CDM UNIÃO DO PARQUE SÃO RAFAEL
CDM UNIÃO SOCIAL VILA BELA,CDM UNIÃO SOCIAL VILA BELA
CDM UNIÃO ULEROMÃ,CDM UNIÃO ULEROMÃ
CDM UNIDOS DA VILA GUARANI,CDM UNIDOS DA VILA GUARANI
CDM UNIDOS DA VILA SANTA MARIA,CDM UNIDOS DA VILA SANTA MARIA
CDM UNIVERSO,CDM UNIVERSO
CDM VELEIROS,CDM VELEIROS
CDM VENEZA INDEPENDENTE,CDM VENEZA INDEPENDENTE
CDM VICENTE ÍTALO FEOLA,CDM VICENTE ÍTALO FEOLA
CDM VICTOR MARQUES DOS SANTOS,CDM VICTOR MARQUES DOS SANTOS
CDM VIGOR,CDM VIGOR
CDM VILA ALBERTINA,CDM VILA ALBERTINA
CDM VILA ANHANGUERA,CDM VILA ANHANGUERA
CDM VILA ARCÁDIA,CDM VILA ARCÁDIA
CDM VILA CALIFÓRNIA,CDM VILA CALIFÓRNIA
CDM VILA CISPER ( 3 COROAS ),CDM VILA CISPER ( 3 COROAS )
CDM VILA CLEMENTINO,CDM VILA CLEMENTINO
CDM VILA DARLY E JARDIM TEREZA,CDM VILA DARLY E JARDIM TEREZA
CDM VILA INVERNADA,CDM VILA INVERNADA
CDM VILA JAGUARA,CDM VILA JAGUARA
CDM VILA MANGALOT,CDM VILA MANGALOT
CDM VILA MATILDE,CDM VILA MATILDE
CDM VILA MIRIAM,CDM VILA MIRIAM
CDM VILA MISSIONÁRIA,CDM VILA MISSIONÁRIA
CDM VILA OLÍMPIA,CDM VILA OLÍMPIA
CDM VILA PALMEIRAS,CDM VILA PALMEIRAS
CDM VILA PENTEADO,CDM VILA PENTEADO
CDM VILA RICA II,CDM VILA RICA II
CDM VINTE E NOVE DE JUNHO,CDM VINTE E NOVE DE JUNHO
CDM WALDEMAR MORENO,CDM WALDEMAR MORENO
CE BARRA FUNDA/CEE RAUL TABAJARA,CE BARRA FUNDA/CEE RAUL TABAJARA
CE BUTANTÃ/CEE SOLANGE NUNES BIBA,CE BUTANTÃ/CEE SOLANGE NUNES BIBA
CE CAMBUÇI/CEE RUBENS PACCE LORDELLO,CE CAMBUÇI/CEE RUBENS PACCE LORDELLO
CE CURUÇA/CEE JOSÉ ERMIRIO DE MORAES,CE CURUÇA/CEE JOSÉ ERMIRIO DE MORAES
CE GUAIANAZES/CEE GERDY GOMES,CE GUAIANAZES/CEE GERDY GOMES
CE IBIRAPUERA/CEE MANÉ GARRINCHA,CE IBIRAPUERA/CEE MANÉ GARRINCHA
CE JAGUARÉ/MINI BALNEÁRIO ESPIRIDIÃO ROSAS,CE JAGUARÉ/MINI BALNEÁRIO ESPIRIDIÃO ROSAS
CE JD SABARÁ/MINI BALNEÁRIO ANTONIO CARLOS DE ABREU SODRÉ,CE JD SABARÁ/MINI BALNEÁRIO ANTONIO CARLOS DE ABREU SODRÉ
CE JD. CELESTE/ BALNEÁRIO MARIO MORAES,CE JD. CELESTE/ BALNEÁRIO MARIO MORAES
CE Jd. São Paulo/CEE Alfredo Inácio Trindade,CE JD. SÃO PAULO/CEE ALFREDO INÁCIO TRINDADE
CE JD. SÃO VICENTE/BALNEÁRIO PEDRO DE FRONTIM,CE JD. SÃO VICENTE/BALNEÁRIO PEDRO DE FRONTIM
CE JOSÉ BONIFÁCIO/CEL JOSÉ BONIFÁCIO,CE JOSÉ BONIFÁCIO/CEL JOSÉ BONIFÁCIO
CE JOSÉ DE ANCHIETA/CEL PADRE JOSÉ DE ANCHIETA,CE JOSÉ DE ANCHIETA/CEL PADRE JOSÉ DE ANCHIETA
CE JUCELINO KUBTSCHEK/CEL JUSCELINO KUBSCHEK,CE JUCELINO KUBTSCHEK/CEL JUSCELINO KUBSCHEK
CE LAPA/ CEE EDSON ARANTES DO NASCIMENTO,CE LAPA/ CEE EDSON ARANTES DO NASCIMENTO
CE MOOCA/CEE SALIM FARAH MALUF,CE MOOCA/CEE SALIM FARAH MALUF
CE PARQUE DO CARMO/CEE RUMI DE RANIERI,CE PARQUE DO CARMO/CEE RUMI DE RANIERI
CE PIRITUBA/CEE GERALDO JOSÉ DE ALMEIDA,CE PIRITUBA/CEE GERALDO JOSÉ DE ALMEIDA
CE SANTO AMARO/CEE JOERG BRUDER,CE SANTO AMARO/CEE JOERG BRUDER
CE SÃO MATEUS/MINI BALNEÁRIO JOSÉ MARIA WHITAKER,CE SÃO MATEUS/MINI BALNEÁRIO JOSÉ MARIA WHITAKER
CE TAIPAS/CEL BRIGADEIRO EDUARDO GOMES,CE TAIPAS/CEL BRIGADEIRO EDUARDO GOMES
CE TATUAPÉ/CEE BRIG. EDUARDO GOMES,CE TATUAPÉ/CEE BRIG. EDUARDO GOMES
CE TEOTONIO VILELA/CEL TEOTONIO VILELA,CE TEOTONIO VILELA/CEL TEOTONIO VILELA
CE TIQUATIRA/CEE LUIZ MARTINEZ,CE TIQUATIRA/CEE LUIZ MARTINEZ
CE TIRADENTES/CEL ANDRÉ VIDAL RIBEIRO SOARES,CE TIRADENTES/CEL ANDRÉ VIDAL RIBEIRO SOARES
CE VILA ALPINA/CEE ARTUR FRIEDENREICH,CE VILA ALPINA/CEE ARTUR FRIEDENREICH
CE VILA GUARANI/CEE RIYUSO OGAWUA,CE VILA GUARANI/CEE RIYUSO OGAWUA
CE VILA INDEPENDENCIA/CEE FLAVIO CALABRESE CONTE,CE VILA INDEPENDENCIA/CEE FLAVIO CALABRESE CONTE
CE VILA MANCHESTER/CEE VICENTE ITALO FEOLA,CE VILA MANCHESTER/CEE VICENTE ITALO FEOLA
CE Vila Maria/CEE Tomaz Mazzoni,CE VILA MARIA/CEE TOMAZ MAZZONI
CE VILA SANTA CATARINA/BALNEÁRIO JALISCO,CE VILA SANTA CATARINA/BALNEÁRIO JALISCO
CECILIA MEIRELES,CECILIA MEIRELES
CEE ALFREDO IGNÁCIO TRINDADE,CEE ALFREDO IGNÁCIO TRINDADE
CEE ARTHUR FRIEDENREICH,CEE ARTHUR FRIEDENREICH
CEE AURÉLIO DE CAMPOS,CEE AURÉLIO DE CAMPOS
CEE BRIGADEIRO EDUARDO GOMES,CEE BRIGADEIRO EDUARDO GOMES
CEE EDSON ARANTES DO NASCIMENTO,CEE EDSON ARANTES DO NASCIMENTO
CEE FLAVIO CALABRESI CONTE,CEE FLAVIO CALABRESI CONTE
CEE GERALDO JOSÉ DE ALMEIDA,CEE GERALDO JOSÉ DE ALMEIDA
CEE GERDY GOMES,CEE GERDY GOMES
CEE JOERG BRUDER,CEE JOERG BRUDER
CEE LUIZ MARTINEZ,CEE LUIZ MARTINEZ
CEE MANÉ GARRINCHA,CEE MANÉ GARRINCHA
CEE OSWALDO BRANDÃO,CEE OSWALDO BRANDÃO
CEE RAUL TABAJARA,CEE RAUL TABAJARA
CEE RIYUSO OGAWA,CEE RIYUSO OGAWA
CEE RUBENS PACCE LORDELLO,CEE RUBENS PACCE LORDELLO
CEE RUMI DE RANIERI,CEE RUMI DE RANIERI
CEE SALIM FARAH MALUF,CEE SALIM FARAH MALUF
CEE SOLANGE NUNES BIBAS,CEE SOLANGE NUNES BIBAS
CEE THOMAZ MAZZONI,CEE THOMAZ MAZZONI
CEE VICENTE ÍTALO FEOLA,CEE VICENTE ÍTALO FEOLA
CEL ANDRÉ VITAL RIBEIRO SOARES,CEL ANDRÉ VITAL RIBEIRO SOARES
CEL AV CEL ANDRÉ VITAL RIBEIRO SOARES,CEL AV CEL ANDRÉ VITAL RIBEIRO SOARES
CEL BRIGADEIRO EDUARDO GOMES,CEL BRIGADEIRO EDUARDO GOMES
CEL ERMELINO MATARAZZO,CEL ERMELINO MATARAZZO
CEL JA CEL JOSÉ DE ANCHIETA,CEL JA CEL JOSÉ DE ANCHIETA
CEL JA CEL JOSÉ DE ANCHIETA (Clube Escola Padre José de Anchieta),CEL JA CEL JOSÉ DE ANCHIETA (Clube Escola Padre José de Anchieta)
CEL JA CEL JOSÉ DE ANCHIETA (Clube Escola Padre JosÚ de Anchieta),CEL JA CEL JOSÉ DE ANCHIETA (Clube Escola Padre José de Anchieta)
CEL JB CEL JOSÉ BONIFÁCIO,CEL JB CEL JOSÉ BONIFÁCIO
CEL JB CEL JOSÉ BONIFÁCIO (Clube Escola JosÚ Bonifßcio),CEL JB CEL JOSÉ BONIFÁCIO
CEL JK CEL JUSCELINO KUBITSCHEK,CEL JUSCELINO KUBITSCHEK
CEL JOSÉ BONIFÁCIO,CEL JOSÉ BONIFÁCIO
CEL JUSCELINO KUBITSCHEK,CEL JUSCELINO KUBITSCHEK
CEL PADRE  JOSÉ DE ANCHIETA,CEL PADRE JOSÉ DE ANCHIETA
CEL PADRE JOSÉ DE ANCHIETA,CEL PADRE JOSÉ DE ANCHIETA
CEL PERUS,CEL PERUS
CEL TAIP CEL BRIGADEIRO EDUARDO GOMES,CEL TAIP CEL BRIGADEIRO EDUARDO GOMES
CEL TEOTÔNIO VILELA,CEL TEOTÔNIO VILELA
CEL TV CEL TEOTÔNIO VILELA,CEL TV CEL TEOTÔNIO VILELA
CENT DE PRAT ESP DA USP(CEPEUSP)-CD,CENT DE PRAT ESP DA USP(CEPEUSP)-CD
CENTRAL DE UNIÃO DA VL NOVA,CENTRAL DE UNIÃO DA VL NOVA
CENTRO DA COROA,CENTRO DA COROA
CENTRO DA COROA FUTEBOL CLUBE,CENTRO DA COROA FUTEBOL CLUBE
CENTRO DE ESPORTES RADICAIS,CENTRO DE ESPORTES RADICAIS
CENTRO ESPORTIVO ACLIMAÇÃO - ESTÁDIO MUNICIPAL JACK MARIN,CENTRO ESPORTIVO ACLIMAÇÃO - ESTÁDIO MUNICIPAL JACK MARIN
CENTRO ESPORTIVO ASSOCIAÇÃO EVANGÉLICA BENEFICENTE,CENTRO ESPORTIVO ASSOCIAÇÃO EVANGÉLICA BENEFICENTE
CENTRO ESPORTIVO BARRA FUNDA - CEE RAUL TABAJARA,CENTRO ESPORTIVO BARRA FUNDA - CEE RAUL TABAJARA
CENTRO ESPORTIVO BUTANTÃ - CEE SOLANGE NUNES BIBAS,CENTRO ESPORTIVO BUTANTÃ - CEE SOLANGE NUNES BIBAS
CENTRO ESPORTIVO CAMBUCI - CEE RUBENS PECCE LORDELLO,CENTRO ESPORTIVO CAMBUCI - CEE RUBENS PECCE LORDELLO
CENTRO ESPORTIVO CAMPO LIMPO - MINI BALNEÁRIO SINÉSIO ROCHA,CENTRO ESPORTIVO CAMPO LIMPO - MINI BALNEÁRIO SINÉSIO ROCHA
CENTRO ESPORTIVO CASA VERDE - MINI BALNEÁRIO COMANDANTE GARCIA D'ÁVILA,CENTRO ESPORTIVO CASA VERDE - MINI BALNEÁRIO COMANDANTE GARCIA D'ÁVILA
CENTRO ESPORTIVO CENTRO EDUCACIONAL COMUNIT?RIO TABOR,CENTRO ESPORTIVO CENTRO EDUCACIONAL COMUNITÁRIO TABOR
CENTRO ESPORTIVO CENTRO EDUCACIONAL COMUNITÁRIO TABOR,CENTRO ESPORTIVO CENTRO EDUCACIONAL COMUNITÁRIO TABOR
CENTRO ESPORTIVO E DE LAZER DE PERUS (2013),CENTRO ESPORTIVO E DE LAZER DE PERUS (2013)
CENTRO ESPORTIVO E DE LAZER PERUS - CEL PERUS,CENTRO ESPORTIVO E DE LAZER PERUS - CEL PERUS
CENTRO ESPORTIVO FREGUESIA DO Ó - CEE AURÉLIO CAMPOS,CENTRO ESPORTIVO FREGUESIA DO Ó - CEE AURÉLIO CAMPOS
CENTRO ESPORTIVO IBIRAPUERA - CEE MANÉ GARRINCHA,CENTRO ESPORTIVO IBIRAPUERA - CEE MANÉ GARRINCHA
CENTRO ESPORTIVO IPIRANGA - BALNEÁRIO CARLOS JOEL NELLI,CENTRO ESPORTIVO IPIRANGA - BALNEÁRIO CARLOS JOEL NELLI
CENTRO ESPORTIVO JAGUARÉ - MINI BALNEÁRIO MARECHAL ESPIRIDIÃO ROSAS,CENTRO ESPORTIVO JAGUARÉ - MINI BALNEÁRIO MARECHAL ESPIRIDIÃO ROSAS
CENTRO ESPORTIVO JARDIM CABUÇU - MINI BALNEÁRIO IRMÃOS PAOLILLO,CENTRO ESPORTIVO JARDIM CABUÇU - MINI BALNEÁRIO IRMÃOS PAOLILLO
CENTRO ESPORTIVO JARDIM CELESTE - BALNEÁRIO MÁRIO MORAES,CENTRO ESPORTIVO JARDIM CELESTE - BALNEÁRIO MÁRIO MORAES
CENTRO ESPORTIVO JARDIM SABARÁ - MINI BALNEÁRIO ANTONIO CARLOS DE ABREU SODRÉ,CENTRO ESPORTIVO JARDIM SABARÁ - MINI BALNEÁRIO ANTONIO CARLOS DE ABREU SODRÉ
CENTRO ESPORTIVO JARDIM SÃO PAULO - CEE ALFREDO INÁCIO TRINDADE,CENTRO ESPORTIVO JARDIM SÃO PAULO - CEE ALFREDO INÁCIO TRINDADE
CENTRO ESPORTIVO JOSÉ BONIFÁCIO - CEL JOSÉ BONIFÁCIO,CENTRO ESPORTIVO JOSÉ BONIFÁCIO - CEL JOSÉ BONIFÁCIO
CENTRO ESPORTIVO JOSÉ DE ANCHIETA - CEL PADRE JOSÉ DE ANCHIETA,CENTRO ESPORTIVO JOSÉ DE ANCHIETA - CEL PADRE JOSÉ DE ANCHIETA
CENTRO ESPORTIVO JUSCELINO KUBITSCHEK - CEL JUSCELINO KIBITSCHEK,CENTRO ESPORTIVO JUSCELINO KUBITSCHEK - CEL JUSCELINO KIBITSCHEK
CENTRO ESPORTIVO LAPA - CEE EDSON ARANTES DO NASCIMENTO,CENTRO ESPORTIVO LAPA - CEE EDSON ARANTES DO NASCIMENTO
CENTRO ESPORTIVO MANDAQUI - MINI BALNEÁRIO GASTÃO MOUTINHO,CENTRO ESPORTIVO MANDAQUI - MINI BALNEÁRIO GASTÃO MOUTINHO
CENTRO ESPORTIVO MOOCA - CEE SALIM FARAH MALUF,CENTRO ESPORTIVO MOOCA - CEE SALIM FARAH MALUF
CENTRO ESPORTIVO NÁUTICO GUARAPIRANGA,CENTRO ESPORTIVO NÁUTICO GUARAPIRANGA
CENTRO ESPORTIVO PIRITUBA - CEE GERALDO JOSÉ DE ALMEIDA,CENTRO ESPORTIVO PIRITUBA - CEE GERALDO JOSÉ DE ALMEIDA
CENTRO ESPORTIVO PISTA DE SKATE DO PARQUE DO CHUVISCO,CENTRO ESPORTIVO PISTA DE SKATE DO PARQUE DO CHUVISCO
CENTRO ESPORTIVO SANTO AMARO - CEE JOERG BRUDER,CENTRO ESPORTIVO SANTO AMARO - CEE JOERG BRUDER
CENTRO ESPORTIVO SÃO MATEUS - MINI BALNEÁRIO JOSÉ MARIA WHITAKER,CENTRO ESPORTIVO SÃO MATEUS - MINI BALNEÁRIO JOSÉ MARIA WHITAKER
CENTRO ESPORTIVO TATUAPÉ - CEE BRIGADEIRO EDUARDO GOMES,CENTRO ESPORTIVO TATUAPÉ - CEE BRIGADEIRO EDUARDO GOMES
CENTRO ESPORTIVO TEOTÔNIO VILELA - CEL TEOTÔNIO VILELA,CENTRO ESPORTIVO TEOTÔNIO VILELA - CEL TEOTÔNIO VILELA
CENTRO ESPORTIVO TIETÊ,CENTRO ESPORTIVO TIETÊ
CENTRO ESPORTIVO TIETÊ - CENTRO ESPORTIVO TIETÊ,CENTRO ESPORTIVO TIETÊ
CENTRO ESPORTIVO TIQUATIRA - CEE LUIZ MARTINEZ,CENTRO ESPORTIVO TIQUATIRA - CEE LUIZ MARTINEZ
CENTRO ESPORTIVO TIRADENTES - CEL ANDRÉ VITAL RIBEIRO SOARES,CENTRO ESPORTIVO TIRADENTES - CEL ANDRÉ VITAL RIBEIRO SOARES
CENTRO ESPORTIVO VILA BRASILÂNDIA - CEE OSWALDO BRANDÃO,CENTRO ESPORTIVO VILA BRASILÂNDIA - CEE OSWALDO BRANDÃO
CENTRO ESPORTIVO VILA CARIOCA - BALNEÁRIO PRINCESA ISABEL,CENTRO ESPORTIVO VILA CARIOCA - BALNEÁRIO PRINCESA ISABEL
CENTRO ESPORTIVO VILA CURUÇÁ - CEE JOSÉ ERMÍRIO DE MORAES,CENTRO ESPORTIVO VILA CURUÇÁ - CEE JOSÉ ERMÍRIO DE MORAES
CENTRO ESPORTIVO VILA GUARANI - CEE RIYUSO OGAWA,CENTRO ESPORTIVO VILA GUARANI - CEE RIYUSO OGAWA
CENTRO ESPORTIVO VILA GUILHERME - GINÁSIO DARCY REIS,CENTRO ESPORTIVO VILA GUILHERME - GINÁSIO DARCY REIS
CENTRO ESPORTIVO VILA INDEPENDÊNCIA - CEE FLÁVIO CALABRESI CONTE,CENTRO ESPORTIVO VILA INDEPENDÊNCIA - CEE FLÁVIO CALABRESI CONTE
